,ID,Address,Post Date,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Direction,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document,Latitude,Longitude
7634,9999,"15, Phu Lam, Ha Đong, Ha Noi",2024-09-25,3,2024,ha đong,5.4,33.0,nha rieng,,,,,,,Not provided,20.9426712,105.7541892
7635,10000,"25, Đoi Can Ngoc Ha Ba Đinh Ha Noi, Đoi Can, Ba Đinh, Ha Noi",2024-09-26,3,2024,ba đinh,4.2,30.0,nha rieng,,,,,,,Not provided,21.035575065197463,105.82035968357545
7636,10001,"Lo Đuc, Đong Mac, Hai Ba Trung, Ha Noi",2024-09-25,3,2024,hai ba trung,4.8,24.0,nha rieng,,,,,,,Not provided,21.0114132,105.8593241
7637,10003,"Đong Ngac, Bac Tu Liem, Ha Noi",2024-09-30,3,2024,,4.85,30.0,nha rieng,,,,,,,Not provided,21.0919168,105.7850022
7638,10004,"Doan Ke Thien, Yen Hoa, Cau Giay, Ha Noi",2024-09-30,3,2024,cau giay,23.0,80.0,nha rieng,,,,,,,Not provided,21.041473,105.7771867
7639,10005,"Đong Ngac, Bac Tu Liem, Ha Noi",2024-09-30,3,2024,,6.39,32.0,nha rieng,,,,,,,Not provided,10.7971686,106.6756073
7640,10006,"Nguyen Chi Thanh, Lang Thuong, Đong Đa, Ha Noi",2024-10-01,4,2024,đong đa,13.5,40.0,nha rieng,,,,,,,Not provided,21.0209964,105.808984
7641,10007,"Long Bien, Long Bien, Ha Noi",2024-10-02,4,2024,long bien,5.8,35.0,nha rieng,,,,,,,Not provided,21.0228568,105.8885796
7642,10008,"Nguyen Hong, Lang Ha, Đong Đa, Ha Noi",2024-10-03,4,2024,đong đa,24.0,51.0,nha rieng,,7.0,5.0,7.0,4.0,1.0,Yes,21.0203433,105.8122241
7643,10009,"Pho Le Trong Tan, Quang Trung, Ha Đong, Ha Noi",2024-10-02,4,2024,ha đong,100.0,201.0,nha rieng,,,,,,,Not provided,20.993927,105.8314531
7644,10011,"Ton Đuc Thang, Quoc Tu Giam, Đong Đa, Ha Noi",2024-10-03,4,2024,đong đa,102.0,179.0,nha rieng,,9.0,9.0,12.5,9.0,9.0,Yes,10.876248,106.660338
7645,10012,"Phuong Mai, Đong Đa, Ha Noi",2024-09-12,3,2024,đong đa,14.5,94.0,nha rieng,,8.0,16.0,,15.0,,Yes,21.0012748,105.8393044
7646,10013,"Minh Khai, Minh Khai, Hai Ba Trung, Ha Noi",2024-09-17,3,2024,hai ba trung,3.45,20.0,nha rieng,,,,,,,Not provided,20.9963671,105.8619744
7647,10014,"Dich Vong, Dich Vong, Cau Giay, Ha Noi",2024-09-16,3,2024,cau giay,7.85,40.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7648,10015,"Minh Khai, Minh Khai, Hai Ba Trung, Ha Noi",2024-09-14,3,2024,hai ba trung,2.85,90.0,nha rieng,,,,,,,Not provided,20.9963671,105.8619744
7649,10016,"LK03, Bich Hoa, Thanh Oai, Ha Noi",2024-09-16,3,2024,thanh oai,3.4,31.6,nha rieng,Đong Bac,4.0,3.0,4.0,3.0,1.0,Yes,20.910586403720654,105.76314247947084
7650,10017,"Quynh Mai, Quynh Mai, Hai Ba Trung, Ha Noi",2024-09-18,3,2024,hai ba trung,3.2,60.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7651,10018,"91, Ly Thuong Kiet, Cua Nam, Hoan Kiem, Ha Noi",2024-09-17,3,2024,hoan kiem,31.8,117.0,nha rieng,,,,,,,Not provided,21.0258056248095,105.84181073002473
7652,10019,"Mai Dich, Cau Giay, Ha Noi",2024-09-18,3,2024,cau giay,7.8,61.0,nha rieng,,,,,,,Not provided,21.0395659,105.7740712
7653,10020,"Binh Minh, TT. Trau Quy, Gia Lam, Ha Noi",2024-09-18,3,2024,gia lam,4.5,60.0,nha rieng,,,,,,,Not provided,21.0208487,105.9417143
7654,10021,"Le Thanh Nghi, Đong Tam, Hai Ba Trung, Ha Noi",2024-09-19,3,2024,hai ba trung,27.5,70.0,nha rieng,,8.0,5.0,12.5,5.0,1.0,Yes,21.0017915,105.8437857
7655,10022,"Hong Mai, Bach Mai, Hai Ba Trung, Ha Noi",2024-09-19,3,2024,hai ba trung,4.95,,nha rieng,,,,,,,Not provided,20.9989094,105.8532637
7656,10023,"Pho Đai Tu, Đai Kim, Hoang Mai, Ha Noi",2024-09-19,3,2024,hoang mai,6.2,33.0,nha rieng,,,,,,,Not provided,20.9739692,105.8216911
7657,10024,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-21,3,2024,,8.8,47.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7658,10026,"Đo Đuc Duc, Me Tri, Nam Tu Liem, Ha Noi",2024-09-23,3,2024,,7.65,31.0,nha rieng,Khong xac đinh,5.0,3.0,3.0,4.0,1.0,Yes,21.0098065,105.7841783
7659,10027,"Tu Đinh, Long Bien, Long Bien, Ha Noi",2024-09-24,3,2024,long bien,8.25,,nha rieng,,,,,,,Not provided,21.0548635,105.8884966
7660,10028,"Đuong Xuan Thuy, Quan Hoa, Cau Giay, Ha Noi",2024-10-03,4,2024,cau giay,16.5,80.0,nha rieng,,,,,,,Not provided,21.036503,105.7854012
7661,10029,"Nguyen Thi Đinh, Trung Hoa, Cau Giay, Ha Noi",2024-10-04,4,2024,cau giay,16.8,54.0,nha rieng,,,,,,,Not provided,21.0099792,105.8046459
7662,10030,"Đuong Cau Giay, Quan Hoa, Cau Giay, Ha Noi",2024-10-03,4,2024,cau giay,17.2,65.0,nha rieng,,,,,,,Not provided,21.0319529,105.7995321
7663,10031,"Vu Pham Ham, Trung Hoa, Cau Giay, Ha Noi",2024-10-04,4,2024,cau giay,18.0,66.0,nha rieng,,,,,,,Not provided,21.0156375,105.797541
7664,10032,"Phu Đo, Nam Tu Liem, Ha Noi",2024-10-04,4,2024,,28.0,119.0,nha rieng,,,,,,,Not provided,21.0124328,105.7673942
7665,10033,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-10-04,4,2024,,11.8,55.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7666,10034,"Thai Ha, Trung Liet, Đong Đa, Ha Noi",2024-10-03,4,2024,đong đa,12.4,31.0,nha rieng,,6.0,4.0,5.0,3.0,1.0,Yes,21.0129882,105.820014
7667,10035,"Nguyen Khang, Yen Hoa, Cau Giay, Ha Noi",2024-10-05,4,2024,cau giay,12.8,55.0,nha rieng,,,,,,,Not provided,21.0222765,105.7994832
7668,10036,"Tan Mai, Hoang Mai, Ha Noi",2024-10-05,4,2024,hoang mai,48.0,183.0,nha rieng,Tay Nam,,3.0,12.5,6.0,6.0,Yes,20.983687,105.848156
7669,10037,"Phuc Loi, Phuc Loi, Long Bien, Ha Noi",2024-09-28,3,2024,long bien,6.5,50.0,nha rieng,,,,,,,Not provided,21.044462536999394,105.92698740544894
7670,10038,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-10-02,4,2024,cau giay,16.5,75.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7671,10039,"Thai Ha, Trung Liet, Đong Đa, Ha Noi",2024-10-07,4,2024,đong đa,42.0,207.0,nha rieng,,4.0,4.0,6.0,4.0,1.0,Yes,21.0129882,105.820014
7672,10040,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-29,3,2024,cau giay,13.66,65.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7673,10041,"Phu My, My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-30,3,2024,,13.9,65.0,nha rieng,,,,,,,Not provided,21.0297319,105.7705587
7674,10042,"Doan Ke Thien, Mai Dich, Cau Giay, Ha Noi",2024-09-30,3,2024,cau giay,20.6,58.0,nha rieng,,,,,,,Not provided,21.041473,105.7771867
7675,10043,"Nguyen Trai, Thanh Xuan Trung, Thanh Xuan, Ha Noi",2024-09-30,3,2024,thanh xuan,8.75,45.0,nha rieng,,3.0,2.0,5.0,2.0,1.0,Yes,20.993483,105.8059686
7676,10044,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-09-30,3,2024,cau giay,9.969,50.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7677,10045,"Vu Thanh, O Cho Dua, Đong Đa, Ha Noi",2024-09-30,3,2024,đong đa,25.5,86.0,nha rieng,,8.0,6.0,8.0,6.0,1.0,Yes,21.0265644,105.826394
7678,10046,"Thuy Khue, Thuy Khue, Tay Ho, Ha Noi",2024-10-02,4,2024,tay ho,80.0,150.0,nha rieng,,,,,,,Not provided,21.0434048,105.8211887
7679,10047,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-10-01,4,2024,cau giay,9.6,50.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7680,10048,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-10-02,4,2024,cau giay,17.5,85.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7681,10049,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-10-02,4,2024,cau giay,11.45,50.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7682,10050,"Lac Long Quan, Buoi, Tay Ho, Ha Noi",2024-10-02,4,2024,tay ho,36.9,116.0,nha rieng,,7.0,7.0,8.0,7.0,1.0,Yes,21.055083,105.8088073
7683,10051,"Phu My, My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-29,3,2024,,19.8,115.0,nha rieng,,,,,,,Not provided,21.0297319,105.7705587
7684,10052,"Ngoc Thuy, Ngoc Thuy, Long Bien, Ha Noi",2024-10-04,4,2024,long bien,7.4,46.0,nha rieng,Đong Nam,5.0,4.0,4.0,3.0,1.0,Yes,21.060608527103923,105.86560363677063
7685,10053,"Đuong Ho Tung Mau, Mai Dich, Cau Giay, Ha Noi",2024-09-24,3,2024,cau giay,18.8,90.0,nha rieng,,,,,,,Not provided,21.0379862,105.7737345
7686,10054,"Tran Duy Hung, Trung Hoa, Cau Giay, Ha Noi",2024-09-24,3,2024,cau giay,15.3,65.0,nha rieng,,,,,,,Not provided,21.0106758,105.7995616
7687,10055,"Tran Thai Tong, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-25,3,2024,cau giay,14.5,65.0,nha rieng,,,,,,,Not provided,21.031792,105.7884835
7688,10056,"Phu Dien, Bac Tu Liem, Ha Noi",2024-09-26,3,2024,,19.8,95.0,nha rieng,,,,,,,Not provided,21.047768,105.7615252
7689,10057,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-24,3,2024,cau giay,11.8,50.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7690,10058,"Tran Thai Tong, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-25,3,2024,cau giay,23.5,100.0,nha rieng,,,,,,,Not provided,21.031792,105.7884835
7691,10059,"Tran Thai Tong, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-25,3,2024,cau giay,16.5,80.0,nha rieng,,,,,,,Not provided,21.031792,105.7884835
7692,10060,"Pham Van Đong, Xuan Đinh, Bac Tu Liem, Ha Noi",2024-09-26,3,2024,,19.8,100.0,nha rieng,,,,,,,Not provided,21.0735405,105.7858577
7693,10061,"Đuong Xuan Đinh, Xuan Tao, Bac Tu Liem, Ha Noi",2024-09-26,3,2024,,22.8,97.0,nha rieng,,,,,,,Not provided,21.0713815,105.7953956
7694,10062,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-09-27,3,2024,cau giay,13.0,58.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7695,10063,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-09-27,3,2024,cau giay,14.8,70.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7696,10064,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-09-27,3,2024,cau giay,9.7,50.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7697,10065,"Long Bien, Long Bien, Ha Noi",2024-09-27,3,2024,long bien,5.3,,nha rieng,,,,,,,Not provided,21.0548635,105.8884966
7698,10066,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-28,3,2024,,11.79,58.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7699,10067,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-28,3,2024,,18.9,80.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7700,10068,"Uy No, Đong Anh, Ha Noi",2024-09-29,3,2024,đong anh,0.77,58.3,nha rieng,,3.0,2.0,6.0,5.0,1.0,Not provided,21.1431669,105.8554513
7701,10069,"Đuong Ho Tung Mau, Mai Dich, Cau Giay, Ha Noi",2024-09-18,3,2024,cau giay,18.5,90.0,nha rieng,,,,,,,Not provided,21.0379862,105.7737345
7702,10070,"Bui Xuong Trach, Khuong Đinh, Thanh Xuan, Ha Noi",2024-09-18,3,2024,thanh xuan,2.55,32.0,nha rieng,,,,,,,Not provided,20.98370515546535,105.8204270002719
7703,10071,"Pho Mai Dich, Mai Dich, Cau Giay, Ha Noi",2024-09-19,3,2024,cau giay,14.9,65.0,nha rieng,,,,,,,Not provided,21.042561,105.775175
7704,10072,"Vuong Thua Vu, Khuong Trung, Thanh Xuan, Ha Noi",2024-09-19,3,2024,thanh xuan,17.6,47.0,nha rieng,,,,,,,Not provided,20.9989203,105.821837
7705,10073,"Yen Lang, Trung Liet, Đong Đa, Ha Noi",2024-09-19,3,2024,đong đa,13.5,55.0,nha rieng,,,,,,,Not provided,21.0114998,105.8169248
7706,10074,"Ton Đuc Thang, Hang Bot, Đong Đa, Ha Noi",2024-09-20,3,2024,đong đa,11.8,40.0,nha rieng,,,,,,,Not provided,21.0225776,105.8318544
7707,10075,"Nguyen Khanh Toan, Quan Hoa, Cau Giay, Ha Noi",2024-09-19,3,2024,cau giay,21.0,85.0,nha rieng,,,,,,,Not provided,21.0377412,105.8008204
7708,10076,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-20,3,2024,,12.8,63.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7709,10077,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-20,3,2024,cau giay,16.5,78.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7710,10078,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-21,3,2024,cau giay,16.5,80.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7711,10079,"44, Nguyen Van Troi, Phuong Liet, Thanh Xuan, Ha Noi",2024-09-22,3,2024,thanh xuan,6.8,54.0,nha rieng,,,,,,,Not provided,20.9803006,105.7864751
7712,10080,"Hoang Van Thai, Khuong Mai, Thanh Xuan, Ha Noi",2024-09-21,3,2024,thanh xuan,10.5,40.0,nha rieng,,,,,,,Not provided,20.9967281,105.8252771
7713,10081,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-22,3,2024,cau giay,17.0,80.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7714,10082,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-22,3,2024,,12.7,65.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7715,10084,"Đong Me, Me Tri, Nam Tu Liem, Ha Noi",2024-09-23,3,2024,,18.5,85.0,nha rieng,,,,,,,Not provided,21.0116194,105.7766156
7716,10085,"Dich Vong, Dich Vong, Cau Giay, Ha Noi",2024-09-12,3,2024,cau giay,15.8,60.0,nha rieng,,,,,,,Not provided,21.0347067,105.7923394
7717,10087,"Ho Đac Di, Phuong Lien, Đong Đa, Ha Noi",2024-09-13,3,2024,đong đa,11.0,53.0,nha rieng,,,,,,,Not provided,21.0123103,105.8289783
7718,10088,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-13,3,2024,cau giay,13.68,65.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7719,10089,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-12,3,2024,,15.5,75.0,nha rieng,,,,,,,Yes,21.0279571,105.771796
7720,10090,"Tran Thai Tong, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-12,3,2024,cau giay,13.5,60.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7721,10091,"Trung Van, Nam Tu Liem, Ha Noi",2024-09-16,3,2024,,17.2,60.0,nha rieng,,7.0,11.0,7.0,11.0,,Yes,10.7971686,106.6756073
7722,10092,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-14,3,2024,cau giay,15.8,65.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7723,10093,"Đinh Thon, My Đinh 1, Nam Tu Liem, Ha Noi",2024-09-15,3,2024,,18.5,65.0,nha rieng,,,,,,,Not provided,21.021164,105.7787627
7724,10094,"Nguyen Khanh Toan, Quan Hoa, Cau Giay, Ha Noi",2024-09-15,3,2024,cau giay,16.9,85.0,nha rieng,,,,,,,Not provided,21.0377412,105.8008204
7725,10095,"Vu Mien, Yen Phu, Tay Ho, Ha Noi",2024-09-13,3,2024,tay ho,12.0,55.0,nha rieng,,,,,,,Not provided,21.0537153,105.8355013
7726,10096,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-16,3,2024,,17.25,74.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7727,10097,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-16,3,2024,cau giay,14.5,65.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7728,10098,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-09-16,3,2024,cau giay,16.1,80.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7729,10099,"Nhat Chieu, Xuan La, Tay Ho, Ha Noi",2024-09-16,3,2024,tay ho,14.0,60.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7730,10100,"Lac Long Quan, Buoi, Tay Ho, Ha Noi",2024-09-06,3,2024,tay ho,24.5,145.0,nha rieng,Khong xac đinh,8.0,35.0,,33.0,1.0,Yes,10.8019128,106.7647475
7731,10101,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-06,3,2024,,25.0,127.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7732,10102,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-07,3,2024,,16.15,85.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7733,10103,"Đo Nhuan, Xuan Đinh, Bac Tu Liem, Ha Noi",2024-09-07,3,2024,,29.0,133.0,nha rieng,,,,,,,Not provided,21.0670268,105.7874008
7734,10104,"Hoang Quoc Viet, Nghia Đo, Cau Giay, Ha Noi",2024-09-07,3,2024,cau giay,16.45,88.0,nha rieng,,,,,,,Not provided,21.0462978,105.7994211
7735,10105,"Đuong Ho Tung Mau, Mai Dich, Cau Giay, Ha Noi",2024-09-06,3,2024,cau giay,18.8,95.0,nha rieng,,,,,,,Not provided,21.0379862,105.7737345
7736,10106,"Đong Me, Me Tri, Nam Tu Liem, Ha Noi",2024-09-08,3,2024,,36.5,130.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7737,10107,"Đai Mo, Nam Tu Liem, Ha Noi",2024-09-08,3,2024,,4.2,40.0,nha rieng,,,,,,,Not provided,20.9898009,105.7615252
7738,10108,"Đuong Cau Giay, Quan Hoa, Cau Giay, Ha Noi",2024-09-08,3,2024,cau giay,18.0,90.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7739,10109,"Trung Van, Nam Tu Liem, Ha Noi",2024-09-09,3,2024,,3.85,21.0,nha rieng,,,,,,,Not provided,20.989171,105.7835348
7740,10110,"Pho Duong Quang Ham, Quan Hoa, Cau Giay, Ha Noi",2024-09-08,3,2024,cau giay,19.0,91.0,nha rieng,,,,,,,Not provided,21.0349565,105.7987714
7741,10111,"Đao Tan, Ngoc Khanh, Ba Đinh, Ha Noi",2024-09-09,3,2024,ba đinh,12.3,36.0,nha rieng,Đong Nam,6.0,4.0,4.0,4.0,2.0,Yes,21.0320524,105.8107846
7742,10112,"Phu My, My Đinh 2, Nam Tu Liem, Ha Noi",2024-09-09,3,2024,,18.8,125.0,nha rieng,,,,,,,Not provided,21.0297319,105.7705587
7743,10113,"Đoi Can, Ngoc Ha, Ba Đinh, Ha Noi",2024-09-09,3,2024,ba đinh,15.5,36.0,nha rieng,,5.0,4.0,10.0,3.0,1.0,Yes,21.0350944,105.8233423
7744,10114,"Nguyen Khanh Toan, Quan Hoa, Cau Giay, Ha Noi",2024-08-18,3,2024,cau giay,28.0,105.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7745,10115,"Tran Duy Hung, Trung Hoa, Cau Giay, Ha Noi",2024-08-19,3,2024,cau giay,10.55,55.0,nha rieng,,,,,,,Not provided,21.0106758,105.7995616
7746,10116,"Nguyen Khanh Toan, Quan Hoa, Cau Giay, Ha Noi",2024-08-18,3,2024,cau giay,16.7,60.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7747,10117,"Hoang Quoc Viet, Nghia Tan, Cau Giay, Ha Noi",2024-08-20,3,2024,cau giay,15.2,65.0,nha rieng,,,,,,,Not provided,21.046054,105.7917616
7748,10118,"Đuong Xuan Thuy, Dich Vong Hau, Cau Giay, Ha Noi",2024-08-21,3,2024,cau giay,14.2,70.0,nha rieng,,,,,,,Not provided,21.0366738,105.7851264
7749,10119,"Đuong Ho Tung Mau, Mai Dich, Cau Giay, Ha Noi",2024-08-21,3,2024,cau giay,14.5,65.0,nha rieng,,,,,,,Not provided,21.0379862,105.7737345
7750,10120,"Phung Chi Kien, Nghia Đo, Cau Giay, Ha Noi",2024-08-22,3,2024,cau giay,16.8,56.0,nha rieng,,,,,,,Not provided,21.0434049,105.8025363
7751,10121,"Quoc lo 6, Phung Chau, Chuong My, Ha Noi",2024-08-22,3,2024,chuong my,2.7,35.0,nha rieng,Đong Bac,3.0,3.0,,3.0,,Yes,10.7971686,106.6756073
7752,10122,"Dich Vong, Dich Vong, Cau Giay, Ha Noi",2024-08-23,3,2024,cau giay,19.5,90.0,nha rieng,,,,,,,Not provided,21.0347067,105.7923394
7753,10123,"Xa Đan, Nam Đong, Đong Đa, Ha Noi",2024-08-22,3,2024,đong đa,15.9,54.0,nha rieng,,,,,,,Not provided,21.0158638,105.8324791
7754,10124,"Nguyen Khang, Yen Hoa, Cau Giay, Ha Noi",2024-08-22,3,2024,cau giay,18.9,64.0,nha rieng,,,,,,,Not provided,21.0222765,105.7994832
7755,10125,"Duong Noi, Ha Đong, Ha Noi",2024-08-28,3,2024,ha đong,3.9,31.0,nha rieng,,4.0,3.0,2.0,3.0,1.0,Yes,10.7971686,106.6756073
7756,10126,"Ha Cau, Ha Đong, Ha Noi",2024-08-29,3,2024,ha đong,5.35,31.0,nha rieng,,,,,,,Not provided,20.9636429,105.7776653
7757,10127,"Phuc Đong, Long Bien, Ha Noi",2024-08-30,3,2024,long bien,10.26,65.0,nha rieng,,,,,,,Not provided,21.0407327,105.896559
7758,10128,"Le Van Luong, Trung Hoa, Cau Giay, Ha Noi",2024-08-29,3,2024,cau giay,16.6,50.0,nha rieng,,,,,,,Not provided,21.0054208,105.8046484
7759,10129,"Đuong Cau Giay, Nghia Đo, Cau Giay, Ha Noi",2024-08-09,3,2024,cau giay,16.5,70.0,nha rieng,,,,,,,Not provided,21.0334093,105.7977605
7760,10130,"Khuong Mai, Thanh Xuan, Ha Noi",2024-08-31,3,2024,thanh xuan,7.3,23.0,nha rieng,,,,,,,Not provided,20.9963153,105.8304975
7761,10131,"Luong Ngoc Quyen, Hang Bac, Hoan Kiem, Ha Noi",2024-08-10,3,2024,hoan kiem,5.7,24.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7762,10132,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-08-10,3,2024,cau giay,17.5,90.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7763,10133,"Đuong Ho Tung Mau, Mai Dich, Cau Giay, Ha Noi",2024-08-10,3,2024,cau giay,14.5,80.0,nha rieng,,,,,,,Not provided,21.0379862,105.7737345
7764,10134,"Cao Vien, Thanh Oai, Ha Noi",2024-08-11,3,2024,thanh oai,1.45,33.0,nha rieng,,,,,,,Not provided,20.9045109,105.7439194
7765,10135,"Đuc Giang, Long Bien, Ha Noi",2024-08-10,3,2024,long bien,7.5,58.0,nha rieng,,,,,,,Not provided,21.0701691,105.9068373
7766,10136,"Hoang Quoc Viet, Nghia Đo, Cau Giay, Ha Noi",2024-08-11,3,2024,cau giay,13.5,60.0,nha rieng,,,,,,,Not provided,21.0461038,105.7993608
7767,10137,"Phu My, My Đinh 2, Nam Tu Liem, Ha Noi",2024-08-12,3,2024,,19.8,155.0,nha rieng,,,,,,,Not provided,21.0297319,105.7705587
7768,10138,"Thuy Khue, Thuy Khue, Tay Ho, Ha Noi",2024-08-12,3,2024,tay ho,33.5,178.0,nha rieng,,,,,,,Not provided,21.0434048,105.8211887
7769,10139,"Đuong Cau Giay, Quan Hoa, Cau Giay, Ha Noi",2024-09-12,3,2024,cau giay,23.5,122.0,nha rieng,,,,,,,Not provided,21.0319529,105.7995321
7770,10140,"Tran Duy Hung, Trung Hoa, Cau Giay, Ha Noi",2024-08-13,3,2024,cau giay,16.4,60.0,nha rieng,,,,,,,Not provided,21.0106758,105.7995616
7771,10141,"Đuong Ho Tung Mau, Mai Dich, Cau Giay, Ha Noi",2024-08-13,3,2024,cau giay,15.5,95.0,nha rieng,,,,,,,Not provided,21.0379862,105.7737345
7772,10142,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-08-13,3,2024,,14.6,75.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7773,10143,"Vu Pham Ham, Yen Hoa, Cau Giay, Ha Noi",2024-08-13,3,2024,cau giay,18.7,65.0,nha rieng,,,,,,,Not provided,21.0173063,105.7983722
7774,10144,"Đoi Can, Vinh Phuc, Ba Đinh, Ha Noi",2024-08-13,3,2024,ba đinh,95.0,300.0,nha rieng,,,,,,,Not provided,10.876248,106.660338
7775,10145,"Nguyen Phong Sac, Dich Vong Hau, Cau Giay, Ha Noi",2024-08-13,3,2024,cau giay,16.5,65.0,nha rieng,,,,,,,Not provided,21.0406301,105.7904009
7776,10146,"Đuong Tran Quoc Hoan, Dich Vong Hau, Cau Giay, Ha Noi",2024-08-14,3,2024,cau giay,15.8,65.0,nha rieng,,,,,,,Not provided,21.041623,105.7867329
7777,10147,"Đuong Kim Giang, Đai Kim, Hoang Mai, Ha Noi",2024-07-31,3,2024,hoang mai,6.3,30.0,nha rieng,,5.0,4.0,5.0,3.0,1.0,Yes,20.981230142338543,105.81723150265125
7778,10148,"Lac Long Quan, Nhat Tan, Tay Ho, Ha Noi",2024-08-01,3,2024,tay ho,9.0,60.0,nha rieng,,,,,,,Not provided,21.0739818,105.8130423
7779,10149,"Đuong Cau Giay, Dich Vong, Cau Giay, Ha Noi",2024-08-02,3,2024,cau giay,15.8,90.0,nha rieng,,,,,,,Not provided,21.0349893,105.7938017
7780,10150,"Huynh Thuc Khang, Lang Ha, Đong Đa, Ha Noi",2024-08-02,3,2024,đong đa,15.5,48.0,nha rieng,,,,,,,Not provided,21.0180725,105.8299495
7781,10151,"My Đinh 2, Nam Tu Liem, Ha Noi",2024-08-01,3,2024,,15.5,81.0,nha rieng,,,,,,,Not provided,21.0279571,105.771796
7782,10152,"Đuong Kim Giang, Đai Kim, Hoang Mai, Ha Noi",2024-08-03,3,2024,hoang mai,10.4,86.0,nha rieng,,,,3.0,,,Yes,20.981230142338543,105.81723150265125
